id,occupation
AbRawli1803,Communication
AbRawli1803,Political
AbRawli1803,Landed
AbRawli1845,Sport
AbRawli1845,Civil
AbRawli1845,Landed
AbRedwo1788,Communication
AbRedwo1788,Landed
AbRedwo1838,Communication
AbRedwo1838,Landed
AbRees1825,Writer
AbRees1825,Antiquary
AbRees1825,School master
AbRees1825,Clergy
AbRhode1816,Antiquary
AbRhode1816,Bibliophile
AbRhode1816,Law
AbRhode1888,Landed
AbRobar1816,Communication
AbRobar1816,Bank
AbRobar1816,Political
AbRobar1816,Landed
AbRobar1858,Communication
AbRobar1858,Bank
AbRobar1858,Political
AbRobar1858,Landed
AbRober1826,Writer
AbRober1826,Science
AbRober1826,Professor
AbRober1826,Clergy
AbRober1873,Army
AbRoper1726,Writer
AbRoper1726,Journalist
AbRoper1726,Book seller
AbRoper1726,Book
AbRoper1726,Communication
AbRudd1794,Writer
AbRudd1794,School master
AbRudd1794,Clergy
AbShack1771,School master
AbShack1818,Writer
AbShack1818,Poet
AbShack1818,School master
AbShack1818,Landed
AbSharp1742,Science
AbSharp1742,Landed
AbSmith1779,Bank
AbSmith1779,Political
AbSmith1779,Landed
AbSmith1788,Bank
AbSmith1788,Political
AbSmith1788,Landed
AbSmith1859,Bank
AbSmith1859,Political
AbSmith1859,Landed
AbStany1732,Writer
AbStany1732,Travel writer
AbStany1732,Political
AbStany1732,Diplomacy
AbStany1732,Civil
AbSutcl1784,Medicine
AbSwain1761,Writer
AbSwain1761,Medicine
AbSweet1787,Book
AbSweet1787,Book seller
AbSweet1787,Communication
AbSymes1781,Clergy
AbSymes1781,Landed
AbThoma1777,None
AbThorn1809,Communication
AbThorn1860,Craft
AbThorn1860,Crime
AbTucke1774,Writer
AbTucke1774,Landed
AbUpche1819,Landed
AbValpy1854,Writer
AbValpy1854,Printer
AbValpy1854,Classics scholar
AbValpy1854,Book
AbVande1750,Book seller
AbVande1750,Printer
AbVande1750,Book
AbVande1750,Communication
AbVerne1760,None
AbWilco1744,Clergy
AbWilki1803,Communication
AbWilki1803,Bank
AbWilki1803,Civil
AbWilki1803,Landed
AbWilli1828,Writer
AbWilli1828,Poet
AbWilli1828,Manufacturing
AbWilli1828,Landed
AbWivel1849,Painter
AbWivel1849,Art
AbYorke1741,None
AcBaldw1727,Political
AcBaldw1727,Civil
AcBaldw1727,Landed
AcLyle1870,Law
AcLyle1870,Civil
AcLyle1870,Landed
AcMaxwe1851,Civil
AcMaxwe1851,Diplomacy
AcMoore1770,Political
AcMoore1770,Civil
AcMoore1770,Landed
AdAnder1765,Writer
AdAnder1765,Antiquary
AdAnder1765,Clerk
AdAnder1765,Communication
AdAnder1846,Writer
AdAnder1846,Science
AdAnder1846,School master
AdAnder1846,Professor
AdAnder1846,Engineer
AdAnder1853,Law
AdAnder1853,Civil
AdAnder1853,Landed
AdAnnan1818,Clergy
AdAskew1844,Landed
AdAskew1844,Civil
AdBlack1807,Medicine
AdBlack1807,Army
AdBlack1847,Medicine
AdBlack1874,Book
AdBlack1874,Book seller
AdBlack1874,Communication
AdBlack1874,Political
AdBlack1874,Landed
AdBooth1869,None
AdBruce1815,Law
AdByron1852,Science
AdByron1852,Aristocracy
AdCalam1762,Writer
AdCalam1762,Law
AdCardo1719,Civil
AdClark1832,Writer
AdClark1832,Antiquary
AdClark1832,Clergy
AdCockb1735,Political
AdCockb1735,Civil
AdCockb1735,Landed
AdCotti1834,None
AdCrawf1795,Writer
AdCrawf1795,Science
AdCrawf1795,Medicine
AdCress1879,Political
AdCress1879,Civil
AdCress1879,Landed
AdDalry1866,Army
AdDalry1866,Political
AdDalry1866,Landed
AdDeCam1834,Theater
AdDicks1776,Writer
AdDicks1776,Science
AdDicks1776,Clergy
AdDrumm1758,Professor
AdDrumm1758,Medicine
AdDrumm1786,Army
AdDrumm1786,Political
AdDrumm1786,Communication
AdDrumm1786,Bank
AdDrumm1786,Landed
AdDrumm1849,Navy
AdDrumm1849,Landed
AdDucar1745,Communication
AdDuff1840,Law
AdDuff1840,Landed
AdEnos1737,Army
AdEnos1737,Landed
AdFergu1813,Law
AdFergu1813,Political
AdFergu1813,Bank
AdFergu1813,Landed
AdFergu1816,Writer
AdFergu1816,Antiquary
AdFergu1816,Professor
AdFergu1816,Army
AdFergu1816,Clergy
AdFergu1855,Army
AdFergu1855,Civil
AdFergu1855,Landed
AdFitzC1856,Navy
AdFitzC1856,Music
AdFitzC1856,Landed
AdFitzC1856,Aristocracy
AdForbe1858,Aristocracy
AdGedde1881,None
AdGib1788,Clergy
AdGilli1842,Law
AdGilli1842,Civil
AdGilli1842,Landed
AdGordo1801,Army
AdGordo1801,Political
AdGordo1801,Civil
AdGordo1801,Landed
AdGordo1801,Aristocracy
AdGordo1817,Writer
AdGordo1817,Clergy
AdHalla1768,Theater
AdHawor1833,Writer
AdHawor1833,Science
AdHay1775,Army
AdHay1775,Political
AdHay1775,Landed
AdHay1867,Bank
AdHay1867,Political
AdHay1867,Civil
AdHay1867,Landed
AdHodgs1862,Writer
AdHodgs1862,Travel writer
AdHodgs1862,Communication
AdHodgs1862,Bank
AdHope1834,Communication
AdHope1834,Art collector
AdHope1834,Art
AdHope1834,Landed
AdHutto1742,Medicine
AdJelli1789,Civil
AdJelli1789,Navy
AdKembl1879,Music
AdKembl1879,Writer
AdKembl1879,Theater
AdKenna1915,Landed
AdLawso1820,Writer
AdLawso1820,Antiquary
AdLawso1820,Civil
AdLawso1820,Medicine
AdLawso1820,Landed
AdLenno1888,None
AdLivin1795,Army
AdLivin1795,Political
AdLivin1795,Landed
AdMaitl1843,Communication
AdMaitl1843,Landed
AdMarti1783,Antiquary
AdMarti1783,Civil
AdMarti1783,Clerk
AdMarti1783,Law
AdMeetk1784,Landed
AdMurra1860,Aristocracy
AdNeale1832,Writer
AdNeale1832,Travel writer
AdNeale1832,Medicine
AdNeill1812,Printer
AdNeill1812,Book
AdNeill1812,Communication
AdOKeef1865,Writer
AdOKeef1865,Poet
AdOKeef1865,Novelist
AdOKeef1865,Service
AdOttle1723,Clergy
AdOught1736,Army
AdOught1736,Music
AdOught1736,Landed
AdPark1846,Medicine
AdProct1864,Writer
AdProct1864,Poet
AdRolla1819,Law
AdRolla1819,Bank
AdRolla1819,Landed
AdRoss1842,Medicine
AdRoss1842,Landed
AdRusse1838,Aristocracy
AdSedgw1873,Writer
AdSedgw1873,Science
AdSedgw1873,Professor
AdSedgw1873,Clergy
AdSimon1791,Theater
AdSimps1782,Landed
AdSkirv1803,Writer
AdSkirv1803,Poet
AdSmith1790,Writer
AdSmith1790,Essayist
AdSmith1790,Science
AdSmith1790,Professor
AdSmith1790,Civil
AdTaylo1821,Law
AdThoms1843,Bank
AdUrquh1860,Writer
AdUrquh1860,Antiquary
AdUrquh1860,Civil
AdUrquh1860,Law
AdWalke1821,Writer
AdWalke1821,Science
AdWalke1821,School master
AdWalke1839,Writer
AdWalke1839,Clergy
AdWatki1766,Printer
AdWatki1766,Civil
AdWatki1766,Book
AdWatki1766,Manufacturing
AdWilli1747,Army
AdWilli1747,Civil
AdWilli1747,Landed
AdWilli1798,Army
AdWilli1798,Civil
AdWilli1798,Landed
AdWolle1827,Antiquary
AdWolle1827,Law
AdWolle1827,Landed
AgAldri1808,None
AgBaill1861,None
AgBanna1848,None
AgBerry1852,None
AgBulle1856,Aristocracy
AgCampb1838,None
AgCarli1790,Painter
AgCarli1790,Sculptor
AgCarli1790,Art
AgCarne1860,None
AgCarso1850,Writer
AgCarso1850,Classics scholar
AgCarso1850,School master
AgChich1814,None
AgChild1762,None
AgClerk1726,None
AgDeMon1859,None
AgDucla1944,Writer
AgDunca1832,None
AgEllio1778,None
AgFawce1790,None
AgFouli1870,None
AgFrase1880,None
AgFrema1864,None
AgGibbe1843,None
AgGordo1808,None
AgGray1800,Service
AgGurne1776,None
AgHall1846,Writer
AgHall1846,Novelist
AgHanbu1847,None
AgIsola1797,Writer
AgJenni1874,None
AgJerda1820,None
AgJones1847,None
AgKekew1836,None
AgKenne1832,Theater
AgMacle1841,None
AgMeado1865,None
AgMilne1862,None
AgMylne1827,None
AgNiven1872,None
AgNorth1840,None
AgPares1812,None
AgPoore1868,None
AgPorte1815,None
AgPring1878,None
AgProut1863,None
AgRamsa1835,None
AgRolfe1831,None
AgRuthe1792,None
AgSeel1870,None
AgSoane1845,None
AgStric1874,Writer
AgStric1874,Poet
AgStric1874,Historian
AgSutti1809,None
AgTrist1784,None
AgVardi1826,None
AgVaugh1878,None
AgVesey1739,Political
AgVesey1739,Landed
AgVesey1785,Political
AgVesey1785,Landed
AgWilbe1834,None
AgYorke1820,None
AlAberc1728,Army
AlAberc1728,Political
AlAberc1728,Landed
AlAberc1795,Writer
AlAberc1795,Essayist
AlAberc1795,Law
AlAberc1795,Civil
AlAberc1853,Army
AlAberc1853,Political
AlAberc1853,Landed
AlAdam1809,Writer
AlAdam1809,Classics scholar
AlAdam1809,Head master
AlAdie1858,Science
AlAdie1858,Craft
AlAinge1904,Writer
AlAinge1904,Clergy
AlAlexa1801,Communication
AlAlexa1801,Landed
AlAllan1820,Army
AlAllan1820,Communication
AlAllan1820,Political
AlAllan1820,Landed
AlAllar1801,Communication
AlAllar1801,Political
AlAllar1801,Landed
AlAnder1806,Travel
AlAnder1806,Army
AlAnder1806,Medicine
AlAnder1811,Medicine
AlAnder1811,Science
AlAnder1811,Army
AlAngus1802,Book seller
AlAngus1802,Printer
AlAngus1802,Book
AlAngus1802,Communication
AlAngus1802,Landed
AlAnnan1847,Civil
AlAnnan1847,Landed
AlAnstr1819,Civil
AlAnstr1819,Law
AlApsle1827,Army
AlApsle1827,Landed
AlAptho1763,None
AlArbla1837,Writer
AlArbla1837,Clergy
AlAshbu1777,None
AlAuber1805,Science
AlAuber1805,Communication
AlAuber1805,Bank
AlAuber1805,Landed
AlAusti1913,Writer
AlAusti1913,Poet
AlAusti1913,Novelist
AlAusti1913,Journalist
AlAusti1913,Law
AlBaill1838,Communication
AlBaill1855,Landed
AlBald1859,Writer
AlBald1859,Poet
AlBale1834,None
AlBalfo1829,Writer
AlBalfo1829,Poet
AlBalfo1829,Novelist
AlBalfo1829,Clerk
AlBalfo1829,Communication
AlBall1809,Civil
AlBall1809,Navy
AlBalla1847,Writer
AlBalla1847,Journalist
AlBalla1847,Communication
AlBanne1774,Engraver
AlBanne1774,Art
AlBanne1774,Book
AlBanne1813,Professor
AlBanne1813,Medicine
AlBanne1813,Landed
AlBanne1864,Political
AlBanne1864,Communication
AlBanne1864,Manufacturing
AlBanne1864,Civil
AlBanne1864,Landed
AlBarth1845,Architect
AlBarth1845,Writer
AlBarth1845,Art
AlBaxte1792,Landed
AlBayne1737,Writer
AlBayne1737,Teacher
AlBayne1737,Law
AlBayne1737,Landed
AlBayne1883,None
AlBeauf1834,None
AlBeche1876,Writer
AlBeche1876,Science
AlBeche1876,Navy
AlBeckf1754,Aristocracy
AlBeesl1847,Writer
AlBeesl1847,Poet
AlBeesl1847,Antiquary
AlBeesl1847,Communication
AlBelle1734,Painter
AlBelle1734,Art
AlBelli1796,Landed
AlBerna1741,None
AlBerti1742,Political
AlBerti1742,Civil
AlBerti1742,Landed
AlBerti1742,Aristocracy
AlBerti1824,Navy
AlBickn1796,Writer
AlBickn1796,Poet
AlBickn1796,Journalist
AlBigg1847,None
AlBlack1740,None
