id,name,sub_type,place,type
YorkshAssoc,Yorkshire Association (1779–1785),politicalsociety|politics,"Yorkshire, England",groups
ZodiacClub,"Zodiac Club (Cambridge University, 1725-1738 fl.)",academic|socialclub,"Cambridge, Cambridgeshire, England",groups
BritishParl,British House of Commons,government|parliament,"London, England",government
IrishParl,Irish House of Commons,government|parliament,"Dublin, Ireland",government
PrivyCnl,Privy Council,government|privy council,"London, England",government
IrPrivyCnl,Privy Council of Ireland,government|privy council,"Dublin, Ireland",government
TownshMin1714,Townshend Ministry (1714-1717),government|ministry,"London, England",government
StanhMin1717,Stanhope-Sunderland Ministry (1717-1718),government|ministry,"London, England",government
StanhMin1718,Stanhope-Sunderland Ministry (1718-1721),government|ministry,"London, England",government
WalpoMin1721,Walpole-Townshend Ministry (1721-1730),government|ministry,"London, England",government
WalpoMin1730,Walpole Ministry (1730-1742),government|ministry,"London, England",government
CarteretMin1742,Carteret Ministry (1742-1744),government|ministry,"London, England",government
BroadBotMin1742,Broad Bottom Ministry (1744-1754),government|ministry,"London, England",government
NewcaMin1754,Newcastle Ministry (1754-1756),government|ministry,"London, England",government
PittMin1756,Pitt-Devonshire Ministry (1756-1757),government|ministry,"London, England",government
PittMin1757,Pitt-Newcastle Ministry (1757-1762),government|ministry,"London, England",government
ButeMin1762,Bute Ministry (1762-1763),government|ministry,"London, England",government
GrenvMin1763,Grenville Ministry (1763-1765),ministry,"London, England",government
RockiMin1765,Rockingham Ministry (1765-1766),government|ministry,"London, England",government
ChathMin1766,Chatham Ministry (1766-1768),government|ministry,"London, England",government
GraftonMin1768,Grafton Ministry (1768-1770),government|ministry,"London, England",government
NorthMin1770,North Ministry (1770-1782),government|ministry,"London, England",government
RockiMin1782,Rockingham Ministry (1782),government|ministry,"London, England",government
ShelbMin1782,Shelburne Ministry (1782-1783),government|ministry,"London, England",government
FoxNoMin1783,Fox-North Ministry (1783),government|ministry,"London, England",government
PittMin1783,Pitt Ministry (1783-1801),government|ministry,"London, England",government
AddinMin1801,Addington Ministry (1801-1804),government|ministry,"London, England",government
PittMin1804,Pitt Ministry (1804-1806),government|ministry,"London, England",government
AllTalMin1806,All the Talents Ministry (1806-1807),government|ministry,"London, England",government
PortMin1807,Portland Ministry (1807-1809),government|ministry,"London, England",government
PerceMin1809,Perceval Ministry (1809-1812),government|ministry,"London, England",government
LiverpMin1812,Liverpool Ministry (1812-1827),government|ministry,"London, England",government
CanniMin1827,Canning-Goderich Ministry (1827-1828),government|ministry,"London, England",government
WelliMin1828,Wellington Ministry (1828-1830),government|ministry,"London, England",government
GreyMin1830,Grey-Melbourne Ministry (1830-1834),government|ministry,"London, England",government
PeelMin1834,Peel Ministry (1834-1835),government|ministry,"London, England",government
MelbouMin1835,Melbourne Ministry (1835-1841),government|ministry,"London, England",government
PeelMin1841,Peel Ministry (1841-1846),government|ministry,"London, England",government
RusselMin1846,Russell Ministry (1846-1852),government|ministry,"London, England",government
MPs1715,British Parliament (1715-1722),government|parliament,"London, England",government
MPs1722,British Parliament (1722-1727),government|parliament,"London, England",government
MPs1727,British Parliament (1727-1734),government|parliament,"London, England",government
MPs1734,British Parliament (1734-1741),government|parliament,"London, England",government
MPs1741,British Parliament (1741-1747),government|parliament,"London, England",government
MPs1747,British Parliament (1747-1754),government|parliament,"London, England",government
MPs1754,British Parliament (1754-1761),government|parliament,"London, England",government
MPs1761,British Parliament (1761-1768),government|parliament,"London, England",government
MPs1768,British Parliament (1768-1774),government|parliament,"London, England",government
MPs1774,British Parliament (1774-1780),government|parliament,"London, England",government
MPs1780,British Parliament (1780-1784),government|parliament,"London, England",government
MPs1784,British Parliament (1784-1790),government|parliament,"London, England",government
MPs1790,British Parliament (1790-1796),government|parliament,"London, England",government
MPs1796,British Parliament (1796-1802),government|parliament,"London, England",government
MPs1802,British Parliament (1802-1806),government|parliament,"London, England",government
MPs1806,British Parliament (1806-1807),government|parliament,"London, England",government
MPs1807,British Parliament (1807-1812),government|parliament,"London, England",government
MPs1812,British Parliament (1812-1818),government|parliament,"London, England",government
MPs1818,British Parliament (1818-1820),government|parliament,"London, England",government
MPs1820,British Parliament (1820-1826),government|parliament,"London, England",government
MPs1826,British Parliament (1826-1830),government|parliament,"London, England",government
MPs1830,British Parliament (1830-1831),government|parliament,"London, England",government
MPs1831,British Parliament (1831-1832),government|parliament,"London, England",government
IreMPs1715,Irish Parliament (1715-1727),government|parliament,"Dublin, Ireland",government
IreMPs1727,Irish Parliament (1727-1761),government|parliament,"Dublin, Ireland",government
IreMPs1761,Irish Parliament (1761-1769),government|parliament,"Dublin, Ireland",government
IreMPs1769,Irish Parliament (1769-1776),government|parliament,"Dublin, Ireland",government
IreMPs1776,Irish Parliament (1776-1783),government|parliament,"Dublin, Ireland",government
IreMPs1783,Irish Parliament (1783-1790),government|parliament,"Dublin, Ireland",government
IreMPs1790,Irish Parliament (1790-1798),government|parliament,"Dublin, Ireland",government
IreMPs1798,Irish Parliament (1798-1800),government|parliament,"Dublin, Ireland",government
